date,nav_pre,nav,ret,turnover,fee_cost,slippage_cost,total_cost,gross_trade_notional,weights,n_positions,top_asset,top_weight
2004-01-29 00:00:00,1006316.793410551,1006316.793410551,-0.001888284172979704,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5975317359369393, 'SHY': 0.14879788077727443, 'TLT': 0.2536703832857863}",3,AGG,0.5975317359369393
2004-01-30 00:00:00,1009335.4129859183,1009335.4129859183,0.0029996712716446883,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5969081491657632, 'SHY': 0.14842468678262133, 'TLT': 0.2546671640516155}",3,AGG,0.5969081491657632
2004-02-02 00:00:00,1009013.2948887092,1009013.2948887092,-0.00031913880466771793,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5972620691210055, 'SHY': 0.14852444195702172, 'TLT': 0.2542134889219728}",3,AGG,0.5972620691210055
2004-02-03 00:00:00,1012111.3718570705,1012111.3718570705,0.00307040252497659,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5970622476773423, 'SHY': 0.14821342142422692, 'TLT': 0.25472433089843083}",3,AGG,0.5970622476773423
2004-02-04 00:00:00,1011575.9776799958,1011575.9776799958,-0.0005289874137984762,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5974368805500593, 'SHY': 0.1482021592617274, 'TLT': 0.25436096018821325}",3,AGG,0.5974368805500593
2004-02-05 00:00:00,1008751.2863209203,1008751.2863209203,-0.002792366981226424,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5974171993116155, 'SHY': 0.1485089584574607, 'TLT': 0.25407384223092383}",3,AGG,0.5974171993116155
2004-02-06 00:00:00,1014277.1332626741,1014277.1332626741,0.005477908198667558,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5966002885505892, 'SHY': 0.1479326778699363, 'TLT': 0.25546703357947453}",3,AGG,0.5966002885505892
2004-02-09 00:00:00,1015515.1948983212,1015515.1948983212,0.0012206344745884223,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5962791859966633, 'SHY': 0.1478061099815262, 'TLT': 0.2559147040218105}",3,AGG,0.5962791859966633
2004-02-10 00:00:00,1012566.7031052794,1012566.7031052794,-0.0029034442890212286,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5967357308737282, 'SHY': 0.14803913203471483, 'TLT': 0.25522513709155703}",3,AGG,0.5967357308737282
2004-02-11 00:00:00,1017086.4851621293,1017086.4851621293,0.004463688212331007,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.596400490580136, 'SHY': 0.14761346186183835, 'TLT': 0.25598604755802556}",3,AGG,0.596400490580136
